,Temp_out_BTES,Temp_into_BTES,,,,,
180,25.24446254,15.24446254, [ 1.34813346e+01],, [ 5.70797058e+10],,39.98707043
181,25.19751816,15.19751816, [ 1.34315215e+01],, [ 5.55712762e+10],,40.02282703
182,25.14268658,15.14268658, [ 1.33739365e+01],, [ 5.37025687e+10],,40.05457642
183,25.09792639,15.09792639, [ 1.33265180e+01],, [ 5.15423076e+10],,40.09128793
184,25.0672341,15.0672341, [ 1.32932340e+01],, [ 4.97634327e+10],,40.1349459
185,25.04553206,15.04553206, [ 1.32689889e+01],, [ 4.85148081e+10],,40.18300268
186,25.01302867,15.01302867, [ 1.32340126e+01],, [ 4.76052691e+10],,40.22557348
187,24.97202614,14.97202614, [ 1.31906240e+01],, [ 4.62931543e+10],,40.26381806
188,25.54664192,15.54664192, [ 1.31559505e+01],, [ 4.46654619e+10],,40.30630028
189,25.52619337,15.52619337, [ 1.31332309e+01],, [ 4.33647078e+10],,40.35463986
190,25.51079532,15.51079532, [ 1.31155972e+01],, [ 4.25123991e+10],,40.40540295
191,25.49328323,15.49328323, [ 1.30958890e+01],, [ 4.18508820e+10],,40.4550096
192,26.06202652,16.06202652, [ 1.30697142e+01],, [ 4.11115399e+10],,40.5012641
193,26.03267168,16.03267168, [ 1.30382787e+01],, [ 4.01296123e+10],,40.54476951
194,25.99479702,15.99479702, [ 1.29984032e+01],, [ 3.89503284e+10],,40.58393651
195,25.95162246,15.95162246, [ 1.29533182e+01],, [ 3.74544269e+10],,40.62038052
196,25.9338492,15.9338492, [ 1.29336738e+01],, [ 3.57630926e+10],,40.66942691
197,26.49246607,16.49246607, [ 1.29097197e+01],, [ 3.50261483e+10],,40.71620063
198,26.46219351,16.46219351, [ 1.28776882e+01],, [ 3.41275232e+10],,40.75881822
199,26.4232961,16.4232961, [ 1.28371132e+01],, [ 3.29258847e+10],,40.79704677
200,26.39795562,16.39795562, [ 1.28101492e+01],, [ 3.14037409e+10],,40.84196377
201,26.36714857,16.36714857, [ 1.27777835e+01],, [ 3.03922036e+10],,40.88406312
202,26.369555,16.369555, [ 1.27786295e+01],, [ 2.91780247e+10],,40.9426518
203,26.394333,16.394333, [ 1.28018007e+01],, [ 2.92097636e+10],,41.01228672
204,26.41248015,16.41248015, [ 1.28183079e+01],, [ 3.00790153e+10],,41.07847357
205,26.45473172,16.45473172, [ 1.28588384e+01],, [ 3.06982740e+10],,41.15655615
206,26.4479784,16.4479784, [ 1.28503809e+01],, [ 3.22187467e+10],,41.21002913
207,26.41029474,16.41029474, [ 1.28110718e+01],, [ 3.19014694e+10],,41.24796092
208,26.36949214,16.36949214, [ 1.27687287e+01],, [ 3.04268167e+10],,41.2842605
209,26.91357776,16.91357776, [ 1.27422746e+01],, [ 2.88383421e+10],,41.32838965
210,26.87967691,16.87967691, [ 1.27069570e+01],, [ 2.78459342e+10],,41.36797234
